method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-linear,2004,5,28-31,18,6.436166682904381,5.178955425268043,-3.3580260962940107,5.490710546617513
carmelo-squared,2004,5,28-31,18,6.472718481750336,5.2092976819690815,-3.3561636549639617,5.53464091564135
538-linear,2004,5,28-31,18,6.42648113174235,5.132779671807115,-3.4360811036762846,5.430746393047571
538-squared,2004,5,28-31,18,6.442531894379303,5.1033539255357425,-3.403043345826287,5.470421665330927
SPS,2004,5,<=23,52,7.2664343033589285,5.450235679130346,-2.334851921554741,6.881099765985339
carmelo-linear,2004,5,<=23,52,7.374957378158123,5.573833860303276,-2.512606797335249,6.933743823623256
carmelo-squared,2004,5,<=23,52,7.3844092619354385,5.576148354503672,-2.502680647227787,6.94738006199095
538-linear,2004,5,<=23,52,7.403406364090235,5.6677541444379544,-2.8168337191323403,6.846595766555145
538-squared,2004,5,<=23,52,7.439304782309365,5.719520081875023,-2.873748115233063,6.8618384864615845
SPS,2005,1,24-27,99,3.99136315328381,3.082552147529015,0.12759385238488782,3.9893232045329774
carmelo-linear,2005,1,24-27,99,3.923215635603119,3.037549485744935,-0.13883303936968402,3.920758384626648
carmelo-squared,2005,1,24-27,99,3.9225703119404103,3.037410127192032,-0.13904238636059302,3.9201052367138614
538-linear,2005,1,24-27,99,3.8886784815155666,2.998892159997067,-0.149135594702664,3.885817662602672
538-squared,2005,1,24-27,99,3.8942673063181057,2.9977075505709334,-0.13188066425546946,3.8920335742968106
SPS,2005,1,28-31,68,4.117290708890641,3.3508031643512513,0.8156797735991123,4.035684488219872
carmelo-linear,2005,1,28-31,68,4.1428145843406945,3.305248567275005,-0.7864224373925278,4.067487237864621
carmelo-squared,2005,1,28-31,68,4.150728793496922,3.315626453781235,-0.7815969308770798,4.07647589896076
538-linear,2005,1,28-31,68,4.059903058581653,3.209537468397556,-0.8386922748941368,3.972330312689713
538-squared,2005,1,28-31,68,4.062275218194218,3.230643296935121,-0.7759826801008244,3.9874717338858243
SPS,2005,1,32-35,19,3.935889124978872,3.314018101507717,2.452126291062189,3.078684760869249
carmelo-linear,2005,1,32-35,19,3.1770646844363113,2.4905002040546456,0.43505442513868264,3.1471364216156323
carmelo-squared,2005,1,32-35,19,3.1876074793466502,2.5012082372792004,0.43273373520146347,3.1580979967070832
538-linear,2005,1,32-35,19,3.0656586458882846,2.4052790567873776,0.4275149564941435,3.035703196144742
538-squared,2005,1,32-35,19,3.0374217195802298,2.3838476126860293,0.4383405610403785,3.0056261003532234
SPS,2005,1,<=23,75,4.796464363709185,3.584812529325105,-1.2106676168612922,4.641158725341717
carmelo-linear,2005,1,<=23,75,4.703543997809373,3.5228269101242122,-0.7781008434139597,4.638737459353252
carmelo-squared,2005,1,<=23,75,4.701992509269462,3.5226426678355014,-0.7750946365957873,4.637667717888656
538-linear,2005,1,<=23,75,4.598734715098183,3.443515325826178,-0.7872735326385665,4.530845546325316
538-squared,2005,1,<=23,75,4.623963116744941,3.444165991414878,-0.820289820419847,4.550621882285229
SPS,2005,2,24-27,87,5.086755792581331,3.878081501172073,0.6331984681750643,5.047191713543333
carmelo-linear,2005,2,24-27,87,4.966299988694188,3.8936466301103403,-0.07558407120146436,4.965724783542127
carmelo-squared,2005,2,24-27,87,4.962491349546681,3.889834224496341,-0.07327600420682194,4.961950324371771
538-linear,2005,2,24-27,87,4.843456906151711,3.742170589409454,-0.2224793097307915,4.838344526642394
538-squared,2005,2,24-27,87,4.821306127702553,3.712990069726728,-0.20562395676747441,4.8169193023576256
SPS,2005,2,28-31,58,5.158435421095406,4.2702984677212825,1.8928028028758888,4.798619962347188
carmelo-linear,2005,2,28-31,58,5.007190502028605,4.002760212636092,-0.5706779943193017,4.9745636341698525
carmelo-squared,2005,2,28-31,58,5.027205116126627,4.012816079022792,-0.5672007084047462,4.9951050675631326
538-linear,2005,2,28-31,58,4.923362919899575,3.958277309347371,-0.639556184318675,4.881646272328814
538-squared,2005,2,28-31,58,4.941161834952528,3.9669522866695677,-0.5405124935488909,4.911509597212348
SPS,2005,2,32-35,14,5.83215159419928,3.7394303751628186,3.3261236251533006,4.790709117439532
carmelo-linear,2005,2,32-35,14,5.315476957792161,3.821839658962305,0.947315253459106,5.2303813531503724
carmelo-squared,2005,2,32-35,14,5.347210582427174,3.8468486648389084,0.9419084278209084,5.263598533932949
538-linear,2005,2,32-35,14,4.945330767659791,3.598569162661003,0.9535118523238802,4.852536609757876
538-squared,2005,2,32-35,14,4.949954089729125,3.6250857839602375,0.9302363787045912,4.8617595343826565
SPS,2005,2,<=23,74,5.842063098365005,4.68111278778449,-1.5570461072982065,5.6307467235727815
carmelo-linear,2005,2,<=23,74,5.902578436127137,4.631672995177004,-1.2015797680200786,5.778982458505814
carmelo-squared,2005,2,<=23,74,5.907837541830589,4.632147978477681,-1.1942822447193557,5.785865046871643
538-linear,2005,2,<=23,74,5.568024080091409,4.414168855792381,-1.1419811538620446,5.449657897584187
538-squared,2005,2,<=23,74,5.6221229269905235,4.465887741011061,-1.2061869653665844,5.491209266707311
SPS,2005,3,24-27,77,5.415352188854491,4.306200629645771,0.4554335696363726,5.396167120556905
carmelo-linear,2005,3,24-27,77,5.255811937669276,4.065833030494387,-0.7356775303809111,5.204069339991494
carmelo-squared,2005,3,24-27,77,5.254112143513866,4.0700253190505595,-0.7318638255586382,5.20289051945729
538-linear,2005,3,24-27,77,5.310901501151534,4.139934515626481,-0.9940693012024361,5.217039484165374
538-squared,2005,3,24-27,77,5.342787662439296,4.173331448654376,-0.9542603421989115,5.256878085443867
SPS,2005,3,28-31,48,5.822186576887856,4.846421645283582,1.330389364475934,5.668149669423211
carmelo-linear,2005,3,28-31,48,6.1995707078059805,4.814714004776929,-1.7702342379074514,5.941460065003061
carmelo-squared,2005,3,28-31,48,6.23558753158093,4.841784674502479,-1.7745884859078718,5.97774100891723
538-linear,2005,3,28-31,48,6.11778534024055,4.752169931527276,-1.92520773032183,5.806967596290791
538-squared,2005,3,28-31,48,6.124726176151277,4.775758377870971,-1.7970477862692678,5.855159262282911
SPS,2005,3,32-35,7,3.6353389463692767,2.695702391695868,2.057868303564146,2.9968095201689593
carmelo-linear,2005,3,32-35,7,3.425245171082048,2.29390614010305,-0.07585961242380877,3.4244050287931476
carmelo-squared,2005,3,32-35,7,3.4437853825513103,2.3086337736792437,-0.10048728546940497,3.442318995464113
538-linear,2005,3,32-35,7,3.0677776985705285,2.1585261377016853,-0.1902997788516987,3.061869690567461
538-squared,2005,3,32-35,7,3.133164401961747,2.192960309339847,-0.054454646222867886,3.1326911531820456
SPS,2005,3,<=23,56,6.6724868444036955,5.358792485572222,-1.7188612860148094,6.447293739871009
carmelo-linear,2005,3,<=23,56,6.640766366343314,5.151049664923763,-1.1390509661302415,6.542349794142343
carmelo-squared,2005,3,<=23,56,6.639293386950399,5.144713225798187,-1.112801905334994,6.545371540064484
538-linear,2005,3,<=23,56,6.3556195774756254,5.013555679354547,-1.182577609884655,6.244630526315464
538-squared,2005,3,<=23,56,6.384052992133908,5.0543181789365415,-1.1853416137077377,6.273045342191195
SPS,2005,4,24-27,72,6.619509762155386,5.154637049266574,1.849039305878276,6.356017867862522
carmelo-linear,2005,4,24-27,72,6.053281972861018,4.847696047574882,-0.09818794792962038,6.052485586091515
carmelo-squared,2005,4,24-27,72,6.049168338894146,4.834798749771739,-0.08670328878384431,6.0485469438529975
538-linear,2005,4,24-27,72,5.950625219698474,4.757123293298889,-0.2654302811345855,5.944702454384773
538-squared,2005,4,24-27,72,5.948810612948852,4.73587048328282,-0.20868592123410512,5.945149106205123
SPS,2005,4,28-31,32,6.020079393647794,4.946480588299211,0.9354470382444692,5.94695676329183
carmelo-linear,2005,4,28-31,32,6.4906316179255565,5.3109850571684305,-2.5244098326949738,5.979603147049798
carmelo-squared,2005,4,28-31,32,6.510835856585886,5.321251497941313,-2.536641257688075,5.996368457758339
538-linear,2005,4,28-31,32,6.4950298024183155,5.400503133107739,-2.4207767484443377,6.027043393612938
538-squared,2005,4,28-31,32,6.569185414575839,5.4284055458872125,-2.328667347235533,6.142597609887445
SPS,2005,4,32-35,7,3.9182491059393305,3.6898063303134454,1.0445614171085311,3.7764490599083396
carmelo-linear,2005,4,32-35,7,4.052275524955043,3.5090900972982246,-1.0344973564985207,3.918003592334652
carmelo-squared,2005,4,32-35,7,4.037982007139696,3.503333795844505,-1.1126254479057887,3.881670169225661
538-linear,2005,4,32-35,7,3.8197905564641643,3.271197906393154,-1.1149068392748642,3.653461733067823
538-squared,2005,4,32-35,7,3.7706922305860124,3.348282739912482,-0.9797874083361255,3.641172411774496
SPS,2005,4,<=23,56,6.9167941843179594,5.408961987332952,-0.8247599720405032,6.8674458699529985
carmelo-linear,2005,4,<=23,56,7.082242010900584,5.4330491962727,-0.6001438068133161,7.056768333458933
carmelo-squared,2005,4,<=23,56,7.085689855913629,5.440643974609704,-0.5788149286383225,7.062009205076323
538-linear,2005,4,<=23,56,6.791719451864617,5.259434626561161,-0.7669761831028431,6.748273901331304
538-squared,2005,4,<=23,56,7.036276165186659,5.431858597015327,-0.9260731834798257,6.975067794051425
SPS,2005,5,24-27,67,6.889535113505174,5.471319837176199,3.25356441552818,6.072891623784301
carmelo-linear,2005,5,24-27,67,6.137884256930291,4.928004068611973,0.9850704182762029,6.05832150207546
carmelo-squared,2005,5,24-27,67,6.1349878522676775,4.926268542702163,0.9744794573347743,6.05710043954238
538-linear,2005,5,24-27,67,5.9352845372673295,4.832025245933916,0.7947478826349516,5.881834606767851
538-squared,2005,5,24-27,67,5.931504805769579,4.850864467032948,0.8093060088745213,5.8760337852047115
SPS,2005,5,28-31,25,5.371625027978944,4.460887638677279,1.583591023188174,5.132893425007733
carmelo-linear,2005,5,28-31,25,5.533983456388629,4.34204478943507,-1.8834569315902916,5.203610562141207
carmelo-squared,2005,5,28-31,25,5.5799711782945876,4.383351739646526,-1.9205390366341408,5.239046493338525
538-linear,2005,5,28-31,25,5.495134464818905,4.181044870935131,-1.9116169814178408,5.151914527900818
538-squared,2005,5,28-31,25,5.681636434557642,4.3450127520181185,-1.9283119909570183,5.34439944615148
SPS,2005,5,<=23,54,6.382309751406158,5.556787561503974,0.29302133845618505,6.375579680162699
carmelo-linear,2005,5,<=23,54,6.654821835189338,5.577428473701165,0.16792375338544036,6.652702854566836
carmelo-squared,2005,5,<=23,54,6.657838312238098,5.571111727402485,0.17727151818573575,6.655477879216907
538-linear,2005,5,<=23,54,6.407538305051372,5.576412665885118,-0.1507650221058578,6.4057643602313386
538-squared,2005,5,<=23,54,6.6568444828445665,5.746244577365714,-0.2706921466004202,6.651338529239585
SPS,2006,1,24-27,93,4.228412817017376,3.3003548647356187,0.21256471425080942,4.223066562744695
carmelo-linear,2006,1,24-27,93,4.2248915410224415,3.2911350748731416,-0.15521564450054287,4.222039393125704
carmelo-squared,2006,1,24-27,93,4.2291977606086215,3.2955452974027333,-0.15592506927232447,4.226322405012353
538-linear,2006,1,24-27,93,4.1524904639072115,3.2358984207123336,-0.23290494321423458,4.145953731081271
538-squared,2006,1,24-27,93,4.146206191808985,3.2385753325443174,-0.219145366125486,4.140410739709394
SPS,2006,1,28-31,67,4.272700918030875,3.307769215418692,1.7814643642622758,3.8836011450463706
carmelo-linear,2006,1,28-31,67,3.7873063221388743,2.8797791821897176,0.3578018510395652,3.770366960006114
carmelo-squared,2006,1,28-31,67,3.7910941284797404,2.879899823903251,0.3663263442806524,3.773353906073419
538-linear,2006,1,28-31,67,3.78741952610056,2.8868540272032006,0.03407987094277709,3.7872661946428208
538-squared,2006,1,28-31,67,3.7828182710071974,2.8862718128800995,0.04270459230261824,3.7825772152412367
SPS,2006,1,32-35,23,3.8530048724825474,2.8733156836127827,1.6003169840402574,3.504943950759633
carmelo-linear,2006,1,32-35,23,3.5859130364819642,2.926181548442587,-0.3790058112477998,3.565827659920162
carmelo-squared,2006,1,32-35,23,3.5857421248446264,2.927067819805447,-0.39088436074653166,3.564373157009382
538-linear,2006,1,32-35,23,3.6364459955418686,3.0503247934591826,-0.4491695717876129,3.6085989212258855
538-squared,2006,1,32-35,23,3.622397692342225,3.050464348574373,-0.47087045474799244,3.591663410779426
SPS,2006,1,36+,7,3.949564511981176,3.51458782609954,1.9102934635069506,3.456853875648163
carmelo-linear,2006,1,36+,7,3.6264162323221445,3.4458966563203233,0.3133920070674628,3.612849310441243
carmelo-squared,2006,1,36+,7,3.6708551430901815,3.4858206519402595,0.30238762847379974,3.658379313807909
538-linear,2006,1,36+,7,3.37072446475957,3.0306816857050634,-0.6228898300426594,3.312671380767811
538-squared,2006,1,36+,7,3.28965504935847,2.8751627267365882,-0.790177565348178,3.193344603858171
SPS,2006,1,<=23,90,5.363702278157056,4.3354241418047685,-2.0639265860954827,4.950707946942076
carmelo-linear,2006,1,<=23,90,5.182093991750721,4.221923763920325,-1.4659577491212223,4.970419098741107
carmelo-squared,2006,1,<=23,90,5.19411959616405,4.234140214671881,-1.4603170435317046,4.984611570787258
538-linear,2006,1,<=23,90,5.176143530270589,4.186014222477781,-1.5598122375291745,4.935529113440251
538-squared,2006,1,<=23,90,5.180118557142081,4.192323065300461,-1.5817895001547657,4.932704151198194
SPS,2006,2,24-27,80,4.765299757685411,3.8503932211597687,0.07102166533621197,4.7647704775413375
carmelo-linear,2006,2,24-27,80,4.7524440728012145,3.7468402427328753,-0.79870783062628,4.684846898928465
carmelo-squared,2006,2,24-27,80,4.754319206863332,3.743440204149793,-0.8091656166685555,4.684954869105036
538-linear,2006,2,24-27,80,4.813033951984175,3.8786189871114884,-0.9853811738390293,4.711084775844734
538-squared,2006,2,24-27,80,4.823237012609134,3.8910412945906385,-0.9835091919368212,4.721898447571534
SPS,2006,2,28-31,61,5.243807820226372,4.022932218247741,0.9905886967416365,5.149393604042611
carmelo-linear,2006,2,28-31,61,5.427960033235202,4.292687135490391,-1.2728217048027037,5.276615869113635
carmelo-squared,2006,2,28-31,61,5.4286907225426875,4.291196218365474,-1.2567943304617273,5.281207340366435
538-linear,2006,2,28-31,61,5.339617107101308,4.316974984099499,-1.6307960746795616,5.084487684443604
538-squared,2006,2,28-31,61,5.3119554364908455,4.3233500889893595,-1.5804439742212635,5.071396987380533
SPS,2006,2,32-35,12,5.284683288551288,3.812522867159579,3.213913448572111,4.195073039338002
carmelo-linear,2006,2,32-35,12,4.291357461627087,3.0808150133273737,0.7576886102929118,4.223938545160769
carmelo-squared,2006,2,32-35,12,4.3020644501483964,3.1058512926824453,0.7435812541942809,4.237315830999794
538-linear,2006,2,32-35,12,4.107390832576041,2.861847736683824,0.7498473253759408,4.038364574943209
538-squared,2006,2,32-35,12,4.09677731843393,2.842572791984152,0.7292649295888735,4.031346804643137
SPS,2006,2,<=23,75,7.210822499335645,5.714660430630749,-2.919977581376383,6.593154938357243
carmelo-linear,2006,2,<=23,75,7.046501696796634,5.626435350345799,-2.2126060113147887,6.6901091771100045
carmelo-squared,2006,2,<=23,75,7.042627109512546,5.621845096675313,-2.2154040856932578,6.685101445807286
538-linear,2006,2,<=23,75,7.02370139475965,5.567238204261186,-2.478225513677979,6.571969231980943
538-squared,2006,2,<=23,75,7.019337282159474,5.561281137707307,-2.517224424386542,6.5524558051150406
SPS,2006,3,24-27,78,5.409688173398507,4.155113584396752,1.5652330831745793,5.178298130538978
carmelo-linear,2006,3,24-27,78,5.11505518991999,4.029715052679975,0.11229581242127686,5.113822371420429
carmelo-squared,2006,3,24-27,78,5.109686373541884,4.023251089950724,0.10055676141195743,5.108696817554741
538-linear,2006,3,24-27,78,5.084662147737284,4.029532261693767,-0.11897631240164629,5.083269990244433
538-squared,2006,3,24-27,78,5.097050380344572,4.03626537109846,-0.1039370241378941,5.095990548930022
SPS,2006,3,28-31,41,6.008020863294527,4.478340178173866,1.5488128887516257,5.804954205626359
carmelo-linear,2006,3,28-31,41,6.231213868401707,4.942741091375633,-1.3798310709108772,6.076519767886114
carmelo-squared,2006,3,28-31,41,6.2256709530752365,4.934793932806329,-1.3757610358968284,6.071759249844546
538-linear,2006,3,28-31,41,6.078364175121084,4.996463156916028,-1.6029018150268641,5.8632087475015755
538-squared,2006,3,28-31,41,6.10099255555278,5.001932310863335,-1.4588318900227368,5.924012126891971
SPS,2006,3,32-35,12,4.040187442875411,3.3824715718090874,0.9785920501978674,3.9198816529147518
carmelo-linear,2006,3,32-35,12,4.054679375371608,3.629473736459154,-1.6379066808539917,3.7091355518338442
carmelo-squared,2006,3,32-35,12,4.116023408374748,3.693993648018869,-1.6760818165322355,3.7593082398998448
538-linear,2006,3,32-35,12,4.028759698023961,3.399932903237808,-1.5128279069130972,3.7339331044472472
538-squared,2006,3,32-35,12,4.01437876599121,3.3385487828622415,-1.5530515118781931,3.7017925223186086
SPS,2006,3,<=23,72,7.413747052594857,5.777949756646947,-2.8401873285546415,6.848137067741605
carmelo-linear,2006,3,<=23,72,7.485870007670654,5.850458619924457,-2.2548523409871524,7.138199401255739
carmelo-squared,2006,3,<=23,72,7.488639024998749,5.845101203027035,-2.2537241612926637,7.141459364271417
538-linear,2006,3,<=23,72,7.297623304924566,5.751394290889763,-2.3713876140171823,6.901581462582619
538-squared,2006,3,<=23,72,7.254049018957814,5.718537914783878,-2.3869266578653137,6.850095495641995
SPS,2006,4,24-27,73,5.824439069257864,4.572024193668311,2.9689340166266436,5.0109401589337095
carmelo-linear,2006,4,24-27,73,5.203179659937354,4.080569269990453,1.1009253209685723,5.085375306822107
carmelo-squared,2006,4,24-27,73,5.195752718249553,4.079503935825521,1.0931476867435423,5.0794561169641845
