method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-linear,2015,4,32-35,5,4.338682835838581,3.8494586074794577,-0.6682488660283091,4.286911732594012
carmelo-squared,2015,4,32-35,5,4.357988846221536,3.8802720380201223,-0.7072899937705561,4.300210186549416
538-linear,2015,4,32-35,5,3.6902873981434348,3.2762376859126667,-0.51005654799471,3.6548684516332406
538-squared,2015,4,32-35,5,3.679022652131643,3.295774303786449,-0.6040096473839032,3.6291018201154013
SPS,2015,4,<=23,51,8.297325713866552,6.576644138217591,-3.1724734886143504,7.666878502104373
carmelo-linear,2015,4,<=23,51,8.217426867389182,6.578686763131224,-3.0751919488422446,7.620321436702354
carmelo-squared,2015,4,<=23,51,8.21514475515522,6.579385422421147,-3.072766801815872,7.618838988311317
538-linear,2015,4,<=23,51,8.269688442517793,6.617321973565928,-3.2002614711277753,7.62535726721886
538-squared,2015,4,<=23,51,8.26245509090729,6.59921719324888,-3.1842449864731597,7.624221140246417
SPS,2015,5,24-27,42,6.291686438293114,5.118537198060282,-1.159424818333471,6.1839350197454275
carmelo-linear,2015,5,24-27,42,6.7642254698743125,5.610960357432723,-3.6494108246045505,5.69530919622065
carmelo-squared,2015,5,24-27,42,6.766604201482921,5.610498410986801,-3.642418623720507,5.702606332993742
538-linear,2015,5,24-27,42,7.137421478028426,5.953447902890245,-4.031406436816137,5.889868207033066
538-squared,2015,5,24-27,42,7.1777365923675305,6.003178347283711,-4.0258225536995536,5.942445233701011
SPS,2015,5,28-31,25,6.46543181259986,5.240671945309936,-1.5543499485699317,6.2758110838965635
carmelo-linear,2015,5,28-31,25,7.873001114318577,5.6494667180363045,-4.719594791329736,6.301553106315521
carmelo-squared,2015,5,28-31,25,7.881955487226804,5.663771769513221,-4.735165177371849,6.301066024541383
538-linear,2015,5,28-31,25,7.700510000984399,5.796401792798874,-5.07440208691788,5.792089237532879
538-squared,2015,5,28-31,25,7.5471146568872465,5.681929331965801,-4.994552406846741,5.6580372833221695
SPS,2015,5,<=23,45,8.23144090336301,6.191125059691723,-3.290520440268773,7.54513714770852
carmelo-linear,2015,5,<=23,45,8.297899643333595,6.287545317573981,-3.575417778046636,7.4880922939867585
carmelo-squared,2015,5,<=23,45,8.287573630515611,6.281611556414566,-3.5685216032832776,7.479941861279289
538-linear,2015,5,<=23,45,8.363982792849349,6.381662471700553,-3.7759134459347528,7.463155217995212
538-squared,2015,5,<=23,45,8.375319099358265,6.384739546372866,-3.7861565577792735,7.470675239632651
SPS,2016,1,24-27,102,4.33214777865083,3.322396919278737,-0.2571763521154321,4.324507451720012
carmelo-linear,2016,1,24-27,102,4.355331533686515,3.368039486144838,-0.6609594495337264,4.304886220842103
carmelo-squared,2016,1,24-27,102,4.344983572421531,3.361632384019161,-0.6509011098779645,4.29595274529092
538-linear,2016,1,24-27,102,4.294760239443709,3.329922669920942,-0.5883706147046147,4.254266744582279
538-squared,2016,1,24-27,102,4.289832255036082,3.3346183629966606,-0.5656756400228828,4.252372496222862
SPS,2016,1,28-31,71,3.9855330556018824,3.0796564777488333,0.6146374246052518,3.9378540569160125
carmelo-linear,2016,1,28-31,71,4.0493790568155665,3.182654056381987,-0.9077612557499494,3.946319836041651
carmelo-squared,2016,1,28-31,71,4.0524501162062325,3.1908582425814638,-0.8988464448295076,3.951509460061719
538-linear,2016,1,28-31,71,3.9873678320316603,3.145785357165698,-1.0869050684159358,3.8363706286244827
